Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,0.23167702,0.24014804,0.22522241,0.23848474,172247365.22,1405618049.15
26-06-2021,0.22609293,0.2394915,0.21749144,0.23137214,224783414.02,1363696712.14
25-06-2021,0.24989108,0.25926514,0.22347809,0.22634879,277752122.33,1334089299.93
24-06-2021,0.23954469,0.25827482,0.22744671,0.24963345,271385224.24,1447862491.11
23-06-2021,0.22014062,0.25645893,0.21114968,0.24025616,512902061.32,1416058706.68
22-06-2021,0.21477423,0.25022352,0.18038815,0.21910391,612952760.45,1291388336.65
21-06-2021,0.28790382,0.28942053,0.21127681,0.21520702,380222369.53,1268420217.06
20-06-2021,0.28419947,0.30632266,0.26690544,0.28818862,369018241.12,1698570407.78
19-06-2021,0.29004992,0.30257843,0.28105415,0.2853011,284778718.51,1681551498.06
18-06-2021,0.32539866,0.32539866,0.2797585,0.2887358,360062390.99,1701795505.05
17-06-2021,0.33875311,0.34775584,0.31608367,0.3246046,580311219.94,1913204548.49
16-06-2021,0.32891835,0.36738478,0.3121748,0.337978,1163819909.21,1992026709.15
15-06-2021,0.28738442,0.33556381,0.27731767,0.28815379,345501865.13,1671278680.88
14-06-2021,0.285924,0.29752729,0.27260235,0.28872854,389749381.92,1674612194.38
13-06-2021,0.27353198,0.28867585,0.26298168,0.28582235,365234958.06,1657756440.05
12-06-2021,0.29598557,0.32078009,0.27351457,0.27405286,682069250.02,1589493938.65
11-06-2021,0.27700053,0.35421468,0.26056267,0.29588808,1696238970.98,1716137229.06
10-06-2021,0.24160126,0.27938811,0.23021556,0.27736665,411948137.71,1608713778.95
09-06-2021,0.23323139,0.24367071,0.21712137,0.24175984,154129780.83,1402195895.34
08-06-2021,0.24124619,0.2455727,0.20546691,0.23377347,194797382.66,1355875321.36
07-06-2021,0.26683542,0.2747283,0.23927398,0.24017715,118987787.02,1393016373.94
06-06-2021,0.26089378,0.26920321,0.26006697,0.26687399,94556153.4,1547856833.77
05-06-2021,0.26996111,0.28341344,0.2527798,0.26096667,151439264.51,1513594670.12
04-06-2021,0.29493654,0.30120983,0.25538242,0.26979375,225237575.45,1564791321.19
03-06-2021,0.27757623,0.30591293,0.27460045,0.29449059,229940994.96,1708031848.9
02-06-2021,0.27215008,0.28196621,0.26600746,0.27740635,158259921.79,1608944417.1
01-06-2021,0.28176453,0.2872644,0.26706052,0.27242569,170206445.69,1580056792.67
31-05-2021,0.26972884,0.28289923,0.25294317,0.28226166,206071314.68,1637105005.45
30-05-2021,0.27083474,0.28399851,0.24860808,0.26981121,245063812.38,1564892934.51
29-05-2021,0.28731293,0.29369422,0.25677168,0.27082201,261390883.04,1570755505.58
28-05-2021,0.300526,0.3219949,0.26878485,0.28749908,528329245.17,1667481770.9
27-05-2021,0.33566665,0.33584441,0.28924889,0.29882002,431230359.37,1733142740
26-05-2021,0.25839515,0.33784868,0.25091603,0.33585447,531866912.4,1947940869.92
25-05-2021,0.26435394,0.27462726,0.23128181,0.25786039,309391760.64,1495578725.25
24-05-2021,0.2139013,0.26448796,0.20650001,0.26275783,387513550.84,1523983634.22
23-05-2021,0.2535302,0.26204909,0.16574239,0.21548789,421005585.05,1249820126.87
22-05-2021,0.28083335,0.28643169,0.23993183,0.25234081,255137636.15,1463565409.94
21-05-2021,0.30813921,0.33777919,0.23506956,0.28001729,412817790.24,1624087752.17
20-05-2021,0.26274984,0.3482411,0.23322651,0.3098843,489382990.58,1797315070.28
19-05-2021,0.41901496,0.42896166,0.19035047,0.2650332,602085271.43,1537180691.84
18-05-2021,0.40534651,0.45380322,0.40233208,0.41855783,405271076.63,2427616668.66
17-05-2021,0.43598012,0.43598012,0.38133469,0.4063435,584895939.64,2269979125.06
16-05-2021,0.43176345,0.48619842,0.41397372,0.43699506,981006186.29,2441209626.57
15-05-2021,0.43542095,0.52209367,0.42641116,0.43134549,1611122882.1,2409649136
14-05-2021,0.42795806,0.44696317,0.41730181,0.43652002,452330444.71,2438555876.92
13-05-2021,0.3995155,0.46154832,0.36684536,0.42762799,764068858.01,2388881854.82
12-05-2021,0.45920001,0.4803787,0.38961439,0.38961439,389724046.39,2176524349.16
11-05-2021,0.4349714,0.46074302,0.4258054,0.45911443,353486649.72,2564776365.39
10-05-2021,0.48555676,0.50471476,0.39671867,0.43459958,453049157.68,2427827698.37
09-05-2021,0.49730089,0.4992015,0.45689834,0.48512924,382655945.66,2710104320.71
08-05-2021,0.50534139,0.51583172,0.49269427,0.49674821,309695960.01,2775012042.74
07-05-2021,0.50439236,0.5277322,0.49289058,0.50498692,498115836.16,2821036416.49
06-05-2021,0.51883507,0.53266406,0.4925761,0.50433147,563461909.48,2817374826.51
05-05-2021,0.48615982,0.52379539,0.48112795,0.5183001,588447897.77,2895408558.81
04-05-2021,0.52441969,0.55469634,0.47836323,0.4880085,853681213.66,2726188882.37
03-05-2021,0.5319274,0.54997492,0.51974521,0.52416163,391226573.63,2928153124.34
02-05-2021,0.55363792,0.5550587,0.51550442,0.53148474,406479062.51,2969062637.71
01-05-2021,0.57028103,0.57028103,0.54161644,0.55366378,451993630.78,3092962637.3
30-04-2021,0.56305396,0.5760167,0.54014332,0.56985558,692083596.8,3183415783.79
29-04-2021,0.5367229,0.61290884,0.51377001,0.56301244,1512283269.21,3145187549.49
28-04-2021,0.51724753,0.56465676,0.47554922,0.53565915,1002428304.69,2992382367.13
27-04-2021,0.45666746,0.53754344,0.44457626,0.51677807,906391687.71,2886905970.27
