iter	Passed	Remaining
427	1698	37996
428	1702	37973
429	1704	37945
430	1707	37914
431	1711	37900
432	1714	37876
433	1717	37854
434	1720	37828
435	1723	37801
436	1726	37787
437	1730	37768
438	1732	37742
439	1735	37713
440	1738	37687
441	1742	37673
442	1745	37650
443	1748	37625
444	1751	37599
445	1754	37577
446	1757	37560
447	1760	37534
448	1763	37508
449	1766	37488
450	1770	37476
451	1773	37455
452	1776	37431
453	1778	37403
454	1781	37379
455	1785	37368
456	1788	37352
457	1792	37337
458	1795	37326
459	1799	37324
460	1802	37305
461	1806	37284
462	1808	37258
463	1811	37231
464	1815	37218
465	1818	37196
466	1821	37176
467	1824	37151
468	1826	37126
469	1831	37141
470	1835	37136
471	1838	37118
472	1842	37109
473	1845	37095
474	1849	37083
475	1853	37085
476	1857	37090
477	1861	37087
478	1865	37082
479	1869	37073
480	1872	37066
481	1876	37050
482	1879	37036
483	1882	37020
484	1886	37018
485	1890	37001
486	1893	36985
487	1896	36965
488	1899	36949
489	1903	36940
490	1906	36930
491	1910	36912
492	1913	36898
493	1917	36889
494	1920	36878
495	1924	36877
496	1927	36862
497	1931	36857
498	1934	36840
499	1938	36824
500	1941	36819
501	1945	36813
502	1949	36800
503	1952	36789
504	1956	36780
505	1959	36768
506	1962	36754
507	1966	36736
508	1969	36724
509	1972	36712
510	1977	36712
511	1980	36705
512	1983	36688
513	1987	36676
514	1994	36731
515	1997	36718
516	2000	36701
517	2005	36714
518	2009	36705
519	2012	36695
520	2016	36691
521	2020	36691
522	2024	36688
523	2028	36682
524	2033	36691
525	2037	36690
526	2040	36672
527	2043	36654
528	2047	36665
529	2051	36656
530	2054	36638
531	2057	36616
532	2061	36620
533	2065	36610
534	2068	36592
535	2071	36576
536	2075	36571
537	2079	36566
538	2082	36548
539	2085	36528
540	2088	36511
541	2092	36518
542	2096	36505
543	2099	36490
544	2102	36472
545	2106	36481
546	2110	36468
547	2113	36448
548	2116	36434
549	2120	36433
550	2123	36418
551	2126	36405
552	2130	36387
553	2149	36654
554	2152	36636
555	2155	36616
556	2159	36615
557	2163	36617
558	2167	36611
559	2171	36599
560	2174	36591
561	2178	36592
562	2182	36580
563	2185	36571
564	2189	36567
565	2201	36699
566	2205	36684
567	2208	36672
568	2211	36657
569	2214	36642
570	2218	36629
571	2221	36611
572	2225	36609
573	2228	36597
574	2231	36579
575	2234	36562
576	2238	36564
577	2242	36551
578	2245	36537
579	2248	36522
580	2252	36523
581	2256	36517
582	2260	36510
583	2263	36495
584	2268	36504
585	2271	36494
586	2274	36477
587	2278	36466
588	2282	36466
589	2285	36457
590	2288	36440
591	2292	36428
592	2296	36426
593	2299	36410
594	2302	36399
595	2305	36381
596	2309	36374
597	2312	36362
598	2316	36348
599	2319	36342
600	2323	36337
601	2327	36331
602	2330	36319
603	2334	36310
604	2337	36300
605	2341	36298
606	2344	36287
607	2348	36271
608	2351	36253
609	2354	36247
610	2357	36234
611	2360	36216
612	2364	36200
613	2367	36188
614	2370	36176
615	2373	36163
616	2377	36149
617	2380	36135
618	2383	36125
619	2386	36107
620	2389	36092
621	2392	36075
622	2395	36060
623	2398	36044
624	2402	36032
625	2405	36015
626	2408	36003
627	2412	35996
628	2415	35983
629	2418	35968
630	2421	35952
631	2424	35939
632	2427	35925
633	2430	35912
634	2434	35896
635	2436	35877
636	2440	35867
637	2443	35851
638	2446	35835
639	2449	35817
640	2451	35800
641	2455	35785
642	2458	35772
643	2461	35755
644	2463	35737
645	2467	35722
646	2470	35709
647	2473	35694
648	2476	35679
649	2479	35662
650	2482	35645
651	2485	35633
652	2489	35630
653	2492	35621
654	2495	35608
655	2499	35598
656	2502	35589
657	2506	35583
658	2509	35576
659	2513	35568
660	2516	35557
661	2520	35549
662	2523	35536
663	2526	35523
664	2530	35515
665	2533	35505
666	2536	35495
667	2539	35482
668	2542	35468
669	2546	35455
670	2549	35443
671	2552	35428
672	2555	35413
673	2558	35397
674	2561	35382
675	2564	35366
676	2567	35358
677	2570	35347
678	2574	35336
679	2577	35322
680	2580	35310
681	2583	35296
682	2586	35283
683	2589	35270
684	2592	35256
685	2596	35248
686	2599	35235
687	2602	35224
688	2605	35211
689	2608	35201
690	2612	35197
691	2616	35187
692	2619	35175
693	2622	35164
694	2625	35151
695	2628	35140
696	2631	35125
697	2634	35113
698	2637	35100
699	2640	35086
700	2643	35073
701	2647	35060
702	2650	35047
703	2654	35048
704	2657	35043
705	2661	35034
706	2664	35022
707	2679	35163
708	2682	35151
709	2685	35136
710	2689	35131
711	2692	35121
712	2695	35105
713	2697	35088
714	2701	35075
715	2704	35070
716	2707	35059
717	2712	35070
718	2715	35058
719	2719	35053
720	2722	35039
721	2725	35026
722	2729	35018
723	2732	35011
724	2735	34998
725	2738	34983
726	2741	34968
727	2744	34955
728	2748	34950
729	2751	34937
730	2754	34920
731	2757	34909
732	2760	34895
733	2763	34883
734	2766	34867
735	2769	34854
736	2772	34840
737	2775	34827
738	2778	34814
739	2781	34800
740	2784	34787
741	2786	34772
742	2789	34759
743	2792	34745
744	2795	34730
745	2798	34717
746	2801	34703
747	2804	34694
748	2808	34686
749	2811	34673
750	2814	34659
751	2817	34647
752	2821	34645
753	2824	34638
754	2827	34628
755	2831	34617
756	2834	34606
757	2837	34598
758	2840	34589
759	2844	34580
760	2848	34579
761	2852	34583
762	2856	34575
763	2859	34566
764	2862	34553
765	2865	34547
766	2869	34543
767	2872	34530
768	2875	34518
769	2878	34505
770	2882	34508
771	2886	34498
772	2889	34487
773	2892	34474
774	2896	34474
775	2900	34473
776	2903	34462
777	2906	34452
778	2910	34450
779	2914	34449
780	2917	34437
781	2920	34426
782	2923	34413
783	2929	34430
784	2932	34422
785	2935	34408
786	2938	34398
787	2942	34400
788	2945	34390
789	2948	34376
790	2951	34363
791	2955	34360
792	2959	34356
793	2962	34344
794	2964	34329
795	2967	34313
796	2971	34310
797	2975	34306
798	2978	34293
799	2980	34279
800	2983	34268
801	2987	34266
802	2991	34262
803	2994	34254
804	2997	34241
805	3001	34241
806	3005	34233
807	3008	34222
808	3011	34214
809	3015	34215
810	3019	34209
811	3022	34197
812	3025	34182
813	3028	34174
814	3032	34174
815	3035	34163
816	3038	34149
817	3041	34138
818	3045	34141
819	3049	34139
820	3052	34125
821	3055	34112
822	3059	34110
823	3062	34106
824	3065	34093
825	3068	34079
826	3071	34066
827	3075	34065
828	3078	34056
829	3081	34042
830	3083	34027
831	3086	34015
832	3091	34019
833	3094	34006
834	3096	33992
835	3099	33976
836	3103	33978
837	3107	33973
838	3110	33963
839	3113	33950
840	3116	33940
841	3120	33943
842	3123	33933
843	3126	33919
844	3129	33906
845	3133	33908
846	3137	33901
847	3139	33888
848	3142	33874
849	3145	33859
850	3149	33861
851	3153	33862
852	3157	33854
853	3160	33842
854	3164	33843
855	3167	33839
856	3171	33833
857	3174	33828
858	3179	33834
859	3183	33831
860	3186	33820
861	3189	33807
862	3193	33813
863	3197	33808
864	3200	33802
865	3204	33795
866	3209	33804
